run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7245188118.56883-5625a5d4-761f,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_07-47-08,finished,2025-08-10T07:49:02Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245188118.56883-5625a5d4-761f,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.75,0.75,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,0.8187500238418579,0.75,0.625,0.625,ResEncTimeConditioned,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245182280.04519-107464bc-4f7a,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-24-26,finished,2025-08-10T09:24:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245182280.04519-107464bc-4f7a,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,1.0,1.0,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7777777910232544,ResEncoder_Classifier,7e-05,1.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245182111.87597-7682c083-51d4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-33-53,finished,2025-08-10T09:34:31Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245182111.87597-7682c083-51d4,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,200.0,0.8187500238418579,0.75,0.5,0.25,1.0,1.0,1.0,1.0,0.6770833730697632,0.625,0.375,0.3333333432674408,ResEncoder_Classifier,5e-05,2.0,200.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245181698.37231-142e81b0-3943,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-33-53,finished,2025-08-10T09:35:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181698.37231-142e81b0-3943,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,200.0,0.6729166507720947,0.5,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,0.550000011920929,0.375,0.375,0.3333333432674408,ResEncTimeConditioned,5e-05,2.0,200.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245181910.09779-99a18340-e89a,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-36-59,finished,2025-08-10T09:37:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181910.09779-99a18340-e89a,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.429166704416275,0.125,0.5,0.4000000059604645,1.0,1.0,0.8999999761581421,0.9227052927017212,0.6166666746139526,0.5,0.375,0.3333333432674408,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245181537.65726-36b9d146-90e6,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-42-25,finished,2025-08-10T09:42:57Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181537.65726-36b9d146-90e6,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,1.0,1.0,0.75,0.7777777910232544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ResEncoder_Classifier,7e-05,1.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245181192.83012-08a62e42-95c4,resenc_MDAE_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_09-42-23,finished,2025-08-10T09:42:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245181192.83012-08a62e42-95c4,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.5083333253860474,0.25,0.25,0.25,1.0,1.0,0.9545454978942872,0.9307359457015992,0.5083333253860474,0.25,0.375,0.3333333432674408,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245180239.40217-535aceb6-312c,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-04-15,finished,2025-08-10T10:04:39Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245180239.40217-535aceb6-312c,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,1.0,1.0,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,0.53125,0.375,0.625,0.625,ResEncoderMultiModal_Classifier,7e-05,4.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245179536.92634-6ff6f432-ba30,resenc_SimCLR_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-10-07,finished,2025-08-10T10:10:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245179536.92634-6ff6f432-ba30,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.6770833730697632,0.625,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,0.6729166507720947,0.5,0.5,0.485714316368103,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245179164.42302-1f521d2b-161a,resenc_SwinUNETR_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-16-12,finished,2025-08-10T10:16:42Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245179164.42302-1f521d2b-161a,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,1.0,1.0,0.5,0.4000000059604645,1.0,1.0,1.0,1.0,0.5083333253860474,0.25,0.375,0.3333333432674408,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
