benchmark,modality,run_id,run_name,created_at,state,noise_type,masking_ratio,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,val_f1,val_balanced_acc,val_loss,train_auroc,train_ap,train_loss,notes,tags
upenn_gbm_gender,flair,7245318176.45889-a5f82875-a198,resenc_MDAE_pretrained_flair_2025-08-08_19-48-01,2025-08-08T19:48:33Z,finished,Flow,90,0.8337385654449463,0.8225210905075073,0.739304780960083,0.7472644448280334,0.6095296144485474,0.9176291227340698,0.8828747868537903,0.8387936353683472,0.8364741802215576,0.5119491219520569,0.974907159805298,0.971711277961731,0.419371634721756,MDAE ablation Noise Corruption Flow M90 on upenn_gbm gender with flair,
upenn_gbm_gtr_status,t1,7245319785.17670-86730f58-fbaf,resenc_MDAE_pretrained_t1_2025-08-08_19-15-30,2025-08-08T19:16:04Z,finished,VP,90,0.4796130955219269,0.5071391463279724,0.4236874282360077,0.5098214149475098,0.686617374420166,0.536835789680481,0.5341649055480957,0.4610205590724945,0.49637681245803833,0.705839216709137,0.6917829513549805,0.6925517320632935,0.6459691524505615,MDAE ablation Noise Corruption VP M90 on upenn_gbm gtr_status with t1,
upenn_gbm_gtr_status,t1,7245318984.16172-5aafa952-524d,resenc_MDAE_pretrained_t1_2025-08-08_19-29-25,2025-08-08T19:30:06Z,finished,VE,90,0.43958330154418945,0.48288631439208984,0.3702907264232635,0.5083333253860474,0.7091276049613953,0.5698973536491394,0.5740267038345337,0.5732152462005615,0.5751811265945435,0.7572208046913147,0.7617822885513306,0.7620935440063477,0.6104608774185181,MDAE ablation Noise Corruption VE M90 on upenn_gbm gtr_status with t1,
upenn_gbm_gtr_status,t1,7245318163.01197-3d21aeff-e8da,resenc_MDAE_pretrained_t1_2025-08-08_19-48-02,2025-08-08T19:48:35Z,finished,Flow,90,0.507440447807312,0.5286566615104675,0.3689839541912079,0.4928571283817291,0.6903978586196899,0.5310990810394287,0.5363995432853699,0.48054784536361694,0.4805253744125366,0.7050251960754395,0.7114707231521606,0.6946367621421814,0.6408793926239014,MDAE ablation Noise Corruption Flow M90 on upenn_gbm gtr_status with t1,
ucsf_pdgm_idh_classification,t1c,7245319978.32140-13dbcd69-cc80,resenc_MDAE_pretrained_t1c_2025-08-08_19-13-00,2025-08-08T19:13:36Z,finished,VP,90,0.8101342916488647,0.7540102005004883,0.7168192267417908,0.732600748538971,0.5763416290283203,0.8305503726005554,0.7989820241928101,0.7765617966651917,0.7813853025436401,0.5240685343742371,0.9918032884597778,0.9895002841949464,0.3597962558269501,MDAE ablation Noise Corruption VP M90 on ucsf_pdgm idh_classification with t1c,
ucsf_pdgm_idh_classification,t1c,7245319177.41315-5c6c2442-d266,resenc_MDAE_pretrained_t1c_2025-08-08_19-26-00,2025-08-08T19:26:39Z,finished,VE,90,0.8162393569946289,0.7655153870582581,0.6980392336845398,0.7087912559509277,0.5700427889823914,0.8444650769233704,0.7856838703155518,0.7919321060180664,0.7770562767982483,0.5393351912498474,0.9873515963554382,0.9877141714096068,0.3589332103729248,MDAE ablation Noise Corruption VE M90 on ucsf_pdgm idh_classification with t1c,
ucsf_pdgm_idh_classification,t1c,7245318342.54937-17f731d5-e795,resenc_MDAE_pretrained_t1c_2025-08-08_19-39-47,2025-08-08T19:40:27Z,finished,Flow,90,0.8516483306884766,0.7946982979774475,0.7168192267417908,0.732600748538971,0.5532575845718384,0.8076685070991516,0.791706919670105,0.7995279431343079,0.7943723201751709,0.5430346727371216,0.9969615936279296,0.9958602786064148,0.34421926736831665,MDAE ablation Noise Corruption Flow M90 on ucsf_pdgm idh_classification with t1c,
upenn_gbm_idh1_status,flair,7245319683.73587-7b5e4497-028c,resenc_MDAE_pretrained_flair_2025-08-08_19-17-07,2025-08-08T19:17:40Z,finished,VP,90,0.5704467296600342,0.5779658555984497,0.45116278529167175,0.5,0.5718235969543457,0.6731151342391968,0.5909976959228516,0.4766505658626557,0.4977678656578064,0.5582268238067627,0.8299109935760498,0.7980042099952698,0.4825633466243744,MDAE ablation Noise Corruption VP M90 on upenn_gbm idh1_status with flair,
upenn_gbm_idh1_status,flair,7245318886.72389-a80fe36e-f126,resenc_MDAE_pretrained_flair_2025-08-08_19-31-27,2025-08-08T19:32:00Z,finished,VE,90,0.5270005464553833,0.514411211013794,0.45116278529167175,0.5,0.5543240308761597,0.5307539701461792,0.5618847608566284,0.4507042169570923,0.5,0.5553686618804932,0.6320834755897522,0.5972660779953003,0.5406748056411743,MDAE ablation Noise Corruption VE M90 on upenn_gbm idh1_status with flair,
upenn_gbm_idh1_status,flair,7245318063.70154-297ffe40-0ed1,resenc_MDAE_pretrained_flair_2025-08-08_19-44-15,2025-08-08T19:44:49Z,finished,Flow,90,0.5581737756729126,0.537628173828125,0.45116278529167175,0.5,0.566502034664154,0.6760913133621216,0.5941790342330933,0.5800430774688721,0.5721726417541504,0.5890250205993652,0.8939814567565918,0.8752021789550781,0.44560176134109497,MDAE ablation Noise Corruption Flow M90 on upenn_gbm idh1_status with flair,
upenn_gbm_survival_1year,t1,7245319616.23252-561029b4-22d6,resenc_MDAE_pretrained_t1_2025-08-08_19-18-37,2025-08-08T19:19:11Z,finished,VP,90,0.4761202931404114,0.4844867289066314,0.5024926662445068,0.5030955076217651,0.799266517162323,0.6839622259140015,0.6672130227088928,0.6507462859153748,0.6502063274383545,0.6816006898880005,0.7986929416656494,0.8021888136863708,0.5989422798156738,MDAE ablation Noise Corruption VP M90 on upenn_gbm survival_1year with t1,
upenn_gbm_survival_1year,t1,7245318803.99930-a6eb991c-9fed,resenc_MDAE_pretrained_t1_2025-08-08_19-32-30,2025-08-08T19:33:07Z,finished,VE,90,0.4669811427593231,0.49079740047454834,0.4112012982368469,0.5042747259140015,0.7412149310112,0.6135023832321167,0.6131666898727417,0.5828877091407776,0.5828419923782349,0.8188767433166504,0.921056032180786,0.9176703691482544,0.501270592212677,MDAE ablation Noise Corruption VE M90 on upenn_gbm survival_1year with t1,
upenn_gbm_survival_1year,t1,7245317988.09636-189ceea6-1d0b,resenc_MDAE_pretrained_t1_2025-08-08_19-46-53,2025-08-08T19:47:27Z,finished,Flow,90,0.4921875,0.5067448616027832,0.3426966369152069,0.4765625,0.6927642822265625,0.580630898475647,0.5632679462432861,0.5577707290649414,0.5577830076217651,0.7548396587371826,0.8455843925476074,0.8493282794952393,0.5705422759056091,MDAE ablation Noise Corruption Flow M90 on upenn_gbm survival_1year with t1,
upenn_gbm_age_group,t2,7245319870.60897-02db25c3-7ad9,resenc_MDAE_pretrained_t2_2025-08-08_19-15-38,2025-08-08T19:16:19Z,finished,VP,90,0.8695023059844971,0.8683472275733948,0.804396390914917,0.8058449029922485,0.5743547081947327,0.8074661493301392,0.8173010945320129,0.7503127455711365,0.75,0.6941813826560974,0.989122211933136,0.9894132018089294,0.3862956166267395,MDAE ablation Noise Corruption VP M90 on upenn_gbm age_group with t2,
upenn_gbm_age_group,t2,7245319071.54070-4640a578-a9cf,resenc_MDAE_pretrained_t2_2025-08-08_19-34-51,2025-08-08T19:35:31Z,finished,VE,90,0.8828125,0.8744931817054749,0.7790898680686951,0.7896412014961243,0.564681887626648,0.7348618507385254,0.732306718826294,0.661824643611908,0.6613756418228149,0.7897743582725525,0.994446098804474,0.9946097731590272,0.37650245428085327,MDAE ablation Noise Corruption VE M90 on upenn_gbm age_group with t2,
upenn_gbm_age_group,t2,7245318242.50394-c34e9f54-24fc,resenc_MDAE_pretrained_t2_2025-08-08_19-42-08,2025-08-08T19:42:45Z,finished,Flow,90,0.7818287014961243,0.7785444259643555,0.35164836049079895,0.5,0.6889634132385254,0.7483832836151123,0.7292953729629517,0.6912023425102234,0.6917989253997803,0.7751835584640503,0.9893851280212402,0.989654541015625,0.39415937662124634,MDAE ablation Noise Corruption Flow M90 on upenn_gbm age_group with t2,
upenn_gbm_gender,t2,7245319812.37658-136e2ff5-732c,resenc_MDAE_pretrained_t2_2025-08-08_22-14-01,2025-08-08T19:23:44Z,finished,VP,90,0.8389058113098145,0.8299806714057922,0.7263157963752747,0.7504559755325317,0.6149319410324097,0.8699088096618652,0.8670821785926819,0.7639796733856201,0.7550151944160461,0.5609679818153381,0.9625802040100098,0.9623942375183104,0.43642422556877136,MDAE ablation Noise Corruption VP M90 on upenn_gbm gender with t2,
