benchmark,run_name,pattern,auroc,modality
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_11-27-09,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n,0.958567440509796,T1n
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_11-16-57,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n,0.958567440509796,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_11-14-20,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n,0.958567440509796,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-07-31_23-32-22,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9551498293876648,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-02_09-27-41,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9533239603042604,T2w
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_06-55-05,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9533239603042604,T2w
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_16-27-16,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n,0.953136682510376,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_21-08-01,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.9506086111068726,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_21-07-49,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9496254920959472,T2w
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-02_10-10-39,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9479401111602784,T2w
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-01_21-09-05,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n,0.9475187063217164,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-05_11-13-20,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9460206031799316,T2w
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-05_11-07-46,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.9460206031799316,T2w
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-08-05_11-27-22,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w,0.9460206031799316,T2w
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-08-05_16-31-25,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w,0.9450374841690063,T2w
