run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,test_balanced_accuracy,test_accuracy,test_f1,test_auc,test_precision,test_recall,test_sensitivity,test_specificity,val_balanced_accuracy,val_f1,val_auc,notes
7245695939.18091-8cf5c0e8-6e66,resenc_VoCo_pretrained_t1_2025-08-04_10-46-09,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245695158.36598-51f35c31-eba8,resenc_SimCLR_pretrained_t1_2025-08-04_10-59-10,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245694366.45859-6e6104ee-ccd9,resenc_MG_pretrained_t1_2025-08-04_11-19-56,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5439707040786743,0.5439404845237732,,pretrained | model_ResEncoder_Classifier | timestamped
7245693604.21394-258ab7c2-d7f1,resenc_S3D_pretrained_t1_2025-08-04_11-26-19,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245692785.87872-6850f85a-bea8,resenc_VF_pretrained_t1_2025-08-04_13-44-30,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5467380881309509,,0.5470064282417297,,,,,,0.5902731418609619,0.5918488502502441,,pretrained | model_ResEncoder_Classifier | timestamped
7245608000.06157-eaa83e4e-c16f,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-05_11-18-55,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,3e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5103264451026917,0.5010896921157837,,pretrained | model_ResEncoder_Classifier | timestamped
7245607162.29595-c11669a0-66eb,resenc_multimodal_mm_mdae_pretrained_pretrained_t1_2025-08-05_11-25-31,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoderMultiModal_Classifier,3e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.4202198386192322,0.40909093618392944,,pretrained | model_ResEncoderMultiModal_Classifier | timestamped
7245606344.21596-59b4b8b0-4505,resenc_time_conditioned_pretrained_t1_2025-08-05_11-51-20,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,3e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.43670886754989624,0.3709677457809448,,pretrained | model_ResEncTimeConditioned | timestamped
7245465010.87903-147eaf8d-8e15,eva_simmim_pretrained_t1_2025-08-07_15-22-26,july_stratified_upenn_gbm_survival_18month_single_t1,T1,Eva_MAE,0.0001,2.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5677881240844727,0.5602843761444092,,pretrained | model_Eva_MAE | timestamped
7245319669.88638-d46808b2-5595,resenc_MDAE_pretrained_t1_2025-08-08_19-17-29,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.4810126721858978,0.393782377243042,,pretrained | model_ResEncoder_Classifier | timestamped
7245318865.78172-7e43b893-b277,resenc_MDAE_pretrained_t1_2025-08-08_19-31-31,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.45309966802597046,,0.4066091775894165,,,,,,0.48500996828079224,0.4781064987182617,,pretrained | model_ResEncoder_Classifier | timestamped
7245318049.56671-bc17ebaa-9921,resenc_MDAE_pretrained_t1_2025-08-08_19-44-54,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,6e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.4855096638202667,0.4817505478858948,,pretrained | model_ResEncoder_Classifier | timestamped
7245180786.59335-c25e383b-2cb1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-10_09-57-24,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncoder_Classifier,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncoder_Classifier | timestamped
7245180484.50700-ae78a20a-5afa,resenc_time_conditioned_pretrained_t1_2025-08-10_09-59-45,july_stratified_upenn_gbm_survival_18month_single_t1,T1,ResEncTimeConditioned,8e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | timestamped
7245977115.27734-9a88a1b2-19b4,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_06-25-43,july_stratified_upenn_gbm_survival_18month_single_t1gd,T1gd,ResEncoder_Classifier,2e-05,4.0,200.0,200.0,0.5136319398880005,,0.4903063774108886,,,,,,0.6229180693626404,0.6244932413101196,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245976308.36928-9d041662-e119,resenc_time_conditioned_pretrained_t1gd_2025-08-01_04-53-50,july_stratified_upenn_gbm_survival_18month_single_t1gd,T1gd,ResEncTimeConditioned,2e-05,4.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
7245974518.73938-c71205c0-85f0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1gd_2025-08-01_05-26-56,july_stratified_upenn_gbm_survival_18month_single_t1gd,T1gd,ResEncoder_Classifier,2e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5224850177764893,0.507022500038147,,pretrained | model_ResEncoder_Classifier | mod_t1gd | timestamped
7245973674.84549-b4af3ca7-397d,resenc_time_conditioned_pretrained_t1gd_2025-08-01_06-03-03,july_stratified_upenn_gbm_survival_18month_single_t1gd,T1gd,ResEncTimeConditioned,2e-05,1.0,200.0,200.0,0.5,,0.4010152220726013,,,,,,0.5,0.4030612111091614,,pretrained | model_ResEncTimeConditioned | mod_t1gd | timestamped
