run_id,run_name,state,created_at,url,project,project_variant,metric_Test_AUROC,metric_Test_AP,metric_Test_F1,metric_Test_Balanced_Accuracy,metric_epoch,metric_Val_AUROC,metric_Val_AP,metric_Val_F1,metric_Val_Balanced_Accuracy,metric_Train_AP,metric_Train_AUROC,metric_Train_Balanced_Accuracy,metric_Train_F1,config_model,config_learning_rate,config_batch_size,config_epochs,method_extracted,benchmark,modalities
7246323557.09408-f7e416cf-d808,dinov2_pretrained_multi_flair_t1_t1ce_t2_2025-07-28_08-08-44,finished,2025-07-28T04:28:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246323557.09408-f7e416cf-d808,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8809523582458496,0.8490343689918518,0.7631579041481018,0.8142857551574707,300.0,0.9063491821289062,0.900814414024353,0.8144665956497192,0.8500000238418579,1.0,1.0,1.0,1.0,dinov2,1e-05,1.0,50.0,dinov2_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246252736.22210-654e42a5-972d,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-07-29_00-06-07,finished,2025-07-29T00:06:30Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246252736.22210-654e42a5-972d,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.7777777910232544,0.7126954197883606,0.666883111000061,0.7428571581840515,300.0,0.5460317134857178,0.5636692047119141,0.49982449412345886,0.5095238089561462,0.9067977666854858,0.91940039396286,0.8238095045089722,0.8356145620346069,dinov2,1e-05,1.0,50.0,dinov2_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246249483.08851-080e234c-b139,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_01-00-16,finished,2025-07-29T01:00:38Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246249483.08851-080e234c-b139,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.6920634508132935,0.6577792167663574,0.42424243688583374,0.5,100.0,0.596825361251831,0.5786644220352173,0.5210084319114685,0.6142857074737549,0.9329710602760316,0.9608465433120728,0.8880952596664429,0.905315637588501,brainmvp,5e-05,1.0,100.0,brainmvp_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246244723.25010-6f11445d-36fa,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_02-20-36,finished,2025-07-29T02:21:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246244723.25010-6f11445d-36fa,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8142856955528259,0.8093135356903076,0.7183794975280762,0.688095211982727,100.0,0.7301586866378784,0.677495002746582,0.6687179803848267,0.711904764175415,0.998321771621704,0.9989417791366576,0.9920635223388672,0.9851304292678832,ResEncoder_Classifier,5e-05,2.0,100.0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246244722.22809-c65f8fc9-9387,brainmvp_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_02-22-34,finished,2025-07-29T02:23:01Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246244722.22809-c65f8fc9-9387,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.6960317492485046,0.6346272230148315,0.42424243688583374,0.5,100.0,0.5841269493103027,0.5572549700737,0.5210084319114685,0.6142857074737549,0.931737184524536,0.9647265672683716,0.8920634984970093,0.9124994277954102,brainmvp,5e-05,1.0,100.0,brainmvp_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246244816.81630-a71f7e96-e453,dinov2_frozen_multi_flair_t1_t1ce_t2_2025-07-29_02-26-44,finished,2025-07-29T02:27:05Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246244816.81630-a71f7e96-e453,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.7603174448013306,0.6884168386459351,0.615730345249176,0.6071428656578064,100.0,0.5507936477661133,0.5664191246032715,0.4300000071525574,0.49047619104385376,0.8600587844848633,0.9075837731361388,0.8103174567222595,0.7972561120986938,dinov2,5e-05,4.0,50.0,dinov2_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246244080.18616-f5ae48b6-c90f,mri_core_frozen_multi_flair_t1_t1ce_t2_2025-07-29_02-36-16,finished,2025-07-29T02:37:47Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246244080.18616-f5ae48b6-c90f,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.6746032238006592,0.5949768424034119,0.42424243688583374,0.5,100.0,0.6420634984970093,0.6553573608398438,0.42424243688583374,0.5,0.5030592679977417,0.5047619342803955,0.5,0.42424243688583374,MRICore,5e-05,4.0,100.0,mri_core_frozen,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246242275.77861-9462d64c-da1b,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_03-00-42,crashed,2025-07-29T03:01:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246242275.77861-9462d64c-da1b,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,,,,,7.0,0.761904776096344,0.6732414960861206,0.482560932636261,0.4952380955219269,0.688254177570343,0.7400352954864502,0.6476190686225891,0.6573473215103149,ResEncoderMultiModal_Classifier,5e-05,2.0,100.0,resenc_multimodal_mm_mdae_pretrained_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246242466.84195-6a81ec9b-0b7c,dinov2_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_03-04-00,finished,2025-07-29T03:04:28Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246242466.84195-6a81ec9b-0b7c,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.4714285731315613,0.4971544742584229,0.42424243688583374,0.5,100.0,0.579365074634552,0.5798617601394653,0.4316239356994629,0.43095237016677856,0.9495023488998412,0.9631392955780028,0.8571428656578064,0.8622941970825195,dinov2,5e-05,1.0,50.0,dinov2_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246232993.80548-90f54eb9-d2ce,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_05-40-02,finished,2025-07-29T05:40:25Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246232993.80548-90f54eb9-d2ce,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.8365079164505005,0.8475050926208496,0.7918864488601685,0.7857142686843872,100.0,0.858730137348175,0.780924916267395,0.6993914842605591,0.6952381134033203,0.9884607791900636,0.990652561187744,0.969841241836548,0.969841241836548,ResEncoderMultiModal_Classifier,5e-05,4.0,100.0,resenc_multimodal_mm_mdae_pretrained_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246229753.60929-1a11eb86-79fa,mri_core_pretrained_multi_flair_t1_t1ce_t2_2025-07-29_07-03-27,finished,2025-07-29T07:05:13Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246229753.60929-1a11eb86-79fa,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.3571428656578064,0.46966752409935,0.42424243688583374,0.5,100.0,0.4968253970146179,0.5073837041854858,0.4970588088035583,0.5,0.9585541486740112,0.9710758924484252,0.8912698030471802,0.8997972011566162,MRICore,5e-05,1.0,100.0,mri_core_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246151811.81867-7d9f1035-6aef,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-07-30_04-09-50,finished,2025-07-30T04:11:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246151811.81867-7d9f1035-6aef,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.561904788017273,0.5429992079734802,0.5777778029441833,0.5738095045089722,200.0,0.7269841432571411,0.6571774482727051,0.6298701763153076,0.6976190805435181,0.99916672706604,0.999470829963684,0.9960317611694336,0.9925134778022766,ResEncoder_Classifier,5e-06,2.0,200.0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246149875.09319-dd47a8e6-2937,resenc_time_conditioned_pretrained_multi_flair_t1_t1ce_t2_2025-07-30_05-35-30,finished,2025-07-30T05:35:55Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246149875.09319-dd47a8e6-2937,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.5682539939880371,0.5746060013771057,0.5038402676582336,0.5190476179122925,200.0,0.6460317373275757,0.622279167175293,0.5262148380279541,0.5833333730697632,1.0,1.0,1.0,1.0,ResEncTimeConditioned,5e-06,2.0,200.0,resenc_time_conditioned_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246128533.38002-9297eeb6-7f5c,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_flair_t1_t1ce_t2_2025-07-30_10-35-53,finished,2025-07-30T10:36:27Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246128533.38002-9297eeb6-7f5c,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.5650793313980103,0.5487279891967773,0.42424243688583374,0.5,200.0,0.6936507821083069,0.6509454250335693,0.6452669501304626,0.7095237970352173,1.0,1.0,0.9960317611694336,0.9925134778022766,ResEncoder_Classifier,5e-06,2.0,200.0,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
7246127414.48268-f0129e2d-4cde,resenc_time_conditioned_pretrained_multi_flair_t1_t1ce_t2_2025-07-30_11-01-06,finished,2025-07-30T11:01:49Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2/runs/7246127414.48268-f0129e2d-4cde,stratified_brats18_lgg_vs_hgg_multi_flair_t1_t1ce_t2,standard,0.6476190090179443,0.6403821706771851,0.6447368860244751,0.6785714626312256,200.0,0.6841269731521606,0.6343377828598022,0.5558441877365112,0.6071428656578064,1.0,1.0,0.9888888597488404,0.9924057722091676,ResEncTimeConditioned,5e-06,2.0,200.0,resenc_time_conditioned_pretrained,brats18_lgg_vs_hgg,flair_t1_t1ce_t2
