run_id,run_name,state,created_at,url,project,project_variant,method_extracted,benchmark,modalities,metric_Test_AUROC,metric_Test_AP,metric_Test_F1,metric_Test_Balanced_Accuracy,metric_epoch,metric_Val_AUROC,metric_Val_AP,metric_Val_F1,metric_Val_Balanced_Accuracy,metric_Train_AP,metric_Train_AUROC,metric_Train_Balanced_Accuracy,metric_Train_F1,config_model,config_learning_rate,config_batch_size,config_epochs
7244959358.52047-2029a6aa-05a5,resenc_SwinUNETR_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-12_23-28-24,crashed,2025-08-12T23:28:56Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244959358.52047-2029a6aa-05a5,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_SwinUNETR_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7244955676.07637-70a6a5d6-4383,brainiac_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-20-54,failed,2025-08-13T00:21:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955676.07637-70a6a5d6-4383,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,brainiac_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,brainiac,5e-05,4.0,200.0
7244955650.94869-143a972d-82a9,brainiac_scratch_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-21-26,failed,2025-08-13T00:21:45Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955650.94869-143a972d-82a9,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,brainiac_scratch,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,brainiac,5e-05,4.0,200.0
7244955626.47955-3f27e9d3-9d37,brainmvp_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-21-57,crashed,2025-08-13T00:22:19Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955626.47955-3f27e9d3-9d37,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,brainmvp_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,99.0,0.832405686378479,0.8241608142852783,0.7739130258560181,0.7424242496490479,0.8195756673812866,0.8629875183105469,0.6730144023895264,0.7010204195976257,brainmvp,5e-05,4.0,200.0
7244955602.16954-80caaf80-4413,dinov2_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-22-17,failed,2025-08-13T00:22:38Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955602.16954-80caaf80-4413,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,dinov2_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,dinov2,5e-05,4.0,50.0
7244955553.44868-48c85bbb-114a,resenc_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-22-50,crashed,2025-08-13T00:23:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955553.44868-48c85bbb-114a,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,,,,,,,,,,,,,,,,,
7244955527.97573-ed006374-c5a5,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-23-16,finished,2025-08-13T00:23:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955527.97573-ed006374-c5a5,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,0.9297924041748048,0.8780913352966309,0.800804853439331,0.8800365924835205,200.0,0.8620902299880981,0.8613936901092529,0.8167601823806763,0.790043294429779,0.9998584985733032,0.9999293684959412,0.9896481037139891,0.9896481037139891,ResEncoder_Classifier,5e-05,4.0,200.0
7244955478.73250-e2e10fc5-467b,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-24-26,finished,2025-08-13T00:24:52Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955478.73250-e2e10fc5-467b,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_multimodal_mm_mdae_pretrained_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,0.8443223237991333,0.7491264343261719,0.7056757211685181,0.7371795177459717,200.0,0.8824985027313232,0.7909538149833679,0.7900899648666382,0.8160173296928406,0.9821290969848632,0.9898954033851624,0.9607475996017456,0.9635474681854248,ResEncoderMultiModal_Classifier,5e-05,4.0,200.0
7244955445.76969-6a70b200-e34d,resenc_time_conditioned_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-24-43,finished,2025-08-13T00:25:34Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955445.76969-6a70b200-e34d,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_time_conditioned_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,0.8238705396652222,0.7904159426689148,0.6672269105911255,0.6364468932151794,200.0,0.8259122371673584,0.7711061239242554,0.7739130258560181,0.7424242496490479,0.9570936560630798,0.9676371216773988,0.8645421266555786,0.8978382349014282,ResEncTimeConditioned,5e-05,4.0,200.0
7244955421.19721-0626fd73-9c12,resenc_VoCo_pretrained_multi_t1_t1c_t2_flair_swi_asl_2025-08-13_00-25-29,finished,2025-08-13T00:25:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl/runs/7244955421.19721-0626fd73-9c12,july_stratified_ucsf_pdgm_idh_classification_multi_t1_t1c_t2_flair_swi_asl,july,resenc_VoCo_pretrained,ucsf_pdgm_idh,t1_t1c_t2_flair_swi_asl_adc_dwi,0.9157508611679076,0.8993326425552368,0.8302469253540039,0.7967033386230469,200.0,0.8555967807769775,0.8430532217025757,0.8041305541992188,0.7835497856140137,1.0,1.0,1.0,1.0,ResEncoder_Classifier,5e-05,4.0,200.0
