run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245607101.63771-935117e8-824c,resenc_VoCo_pretrained_mixed_contrasts_2025-08-05_11-26-48,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4,200,200.0,0.3947368562221527,0.3658536672592163,0.3458646535873413,0.4540049433708191,0.5,0.4947368502616882,0.6296296119689941,0.6078819632530212,
7245586123.64195-acf51aa9-1699,resenc_S3D_pretrained_mixed_contrasts_2025-08-05_17-21-02,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.422222226858139,0.3383458852767944,0.4536107778549194,0.4722222089767456,0.4146341383457184,0.7037037014961243,0.6634054780006409,
7245999969.66310-6ac2e558-6e33,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-07-31_22-20-08,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,5e-05,1,200,200.0,0.5,0.422222226858139,0.3308270573616028,0.4623253941535949,0.4444444477558136,0.4444444477558136,0.3055555820465088,0.4426417946815491,
7245606715.99119-f277c966-48c0,resenc_SimCLR_pretrained_mixed_contrasts_2025-08-05_11-34-19,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4,200,200.0,0.5375940203666687,0.5384615659713745,0.3233082890510559,0.5070059895515442,0.472222238779068,0.4692874848842621,0.6018518209457397,0.5864003300666809,
7245589496.95008-56779320-c1c2,resenc_pretrained_mixed_contrasts_2025-08-05_16-26-47,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.422222226858139,0.3233082592487335,0.4545004665851593,0.5,0.4947368502616882,0.5,0.5340588092803955,
7245998055.47095-f467f3d7-20b4,resenc_pretrained_mixed_contrasts_2025-07-31_22-57-17,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,5e-05,4,100,100.0,0.5,0.422222226858139,0.3157894611358642,0.451016217470169,0.4722222089767456,0.4146341383457184,0.6018518209457397,0.6040267944335938,
7245968403.90539-65c198ac-af10,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_08-49-07,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,0.0001,4,200,200.0,0.5,0.422222226858139,0.3007518649101257,0.4397202730178833,0.3333333432674408,0.3333333432674408,0.3425925970077514,0.4725349247455597,
7245998094.40706-cf3c44a9-6258,brainmvp_pretrained_mixed_contrasts_2025-07-31_22-56-57,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,brainmvp,5e-05,4,100,100.0,0.5,0.422222226858139,0.2706766724586487,0.4202312231063843,0.5,0.4285714328289032,0.5925925970077515,0.5616494417190552,
7245917989.82426-fd208b12-e7c5,resenc_pretrained_mixed_contrasts_2025-08-01_21-05-22,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,6e-05,4,200,200.0,0.5,0.422222226858139,0.2706766724586487,0.4308084845542908,0.4722222089767456,0.4146341383457184,0.4814814627170563,0.5086554288864136,
7245180602.70815-55263f20-8bbf,resenc_time_conditioned_pretrained_mixed_contrasts_2025-08-10_09-58-52,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncTimeConditioned,8e-05,4,200,200.0,0.5,0.422222226858139,0.2556390762329101,0.4296942353248596,0.6111111044883728,0.621052622795105,0.5,0.6412797570228577,
7245914433.44622-dc75bf85-5e2f,dinov2_pretrained_mixed_contrasts_2025-08-01_22-04-21,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,dinov2,6e-05,4,50,200.0,0.5,0.422222226858139,0.2330826818943023,0.4213641285896301,0.5,0.4285714328289032,0.5277777910232544,0.5386916995048523,
7245608475.35702-8fbd5685-9d1e,resenc_pretrained_mixed_contrasts_2025-08-05_11-11-30,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,3e-05,4,200,200.0,0.4736842215061188,0.409090906381607,0.2180451154708862,0.4312180280685425,0.4166666567325592,0.3846153914928436,0.3055555820465088,0.4674434959888458,
7245998107.29500-0093c1a0-7a94,brainiac_scratch_mixed_contrasts_2025-07-31_23-01-34,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,brainiac,5e-05,4,100,,,,,,,,,,
7245998121.01628-d48850ac-bd2c,brainiac_pretrained_mixed_contrasts_2025-07-31_23-01-34,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,brainiac,5e-05,4,100,,,,,,,,,,
7245974170.67487-05baf301-5f67,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_mixed_contrasts_2025-08-01_05-38-21,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,ResEncoder_Classifier,2e-05,1,200,2.0,,,,,0.5,0.4285714328289032,0.3703703880310058,0.5017343759536743,
7245972481.15181-133a7246-17d1,brainiac_pretrained_mixed_contrasts_2025-08-01_06-09-56,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,brainiac,0.0001,4,100,,,,,,,,,,
7245913594.43568-03cb1c47-becc,brainiac_pretrained_mixed_contrasts_2025-08-01_22-20-28,july_stratified_tcga_gbm_pfi_1year_single_mixed_contrasts,mixed_contrasts,brainiac,6e-05,4,200,,,,,,,,,,
