run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7245608615.45343-b9fa4fc1-6689,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_11-08-27,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9479730129241944,0.9425560235977172,0.8974359035491943,0.8940766453742981,0.9882189631462096,0.9889072179794312,
7245876197.61032-d299dcbf-5934,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-02_10-10-30,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,8e-05,4,200,200.0,0.5625,0.4505606591701507,0.9459459781646729,0.947851538658142,0.9230769276618958,0.9208333492279052,0.9882189631462096,0.988825023174286,
7245917844.49583-2f0ea2fa-9ca1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_21-09-46,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,6e-05,4,200,200.0,0.7037162184715271,0.686296284198761,0.945608139038086,0.9392699003219604,0.8825364112854004,0.8815584182739258,0.9466389417648317,0.9375180006027222,
7245969039.60955-49f45226-b294,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_06-55-52,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,0.0001,4,200,200.0,0.925000011920929,0.9219594597816468,0.945270299911499,0.9411159753799438,0.9487179517745972,0.9473319053649902,0.9660429954528807,0.9485891461372375,
7245608602.79339-d06dd6ff-c0e2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-05_11-08-21,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.945270299911499,0.9227910041809082,0.9074844121932985,0.907750964164734,0.959805965423584,0.9602617025375366,
7245607490.81640-280e2738-44bd,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-08-05_11-28-13,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.945270299911499,0.9227910041809082,0.9074844121932985,0.907750964164734,0.959805965423584,0.9602617025375366,
7245977460.83644-2d06464a-bd89,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_04-34-07,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,2e-05,4,200,200.0,0.5,0.3418803513050079,0.9445945620536804,0.9346166849136353,0.8839223980903625,0.8810641765594482,0.9577269554138184,0.9592772126197816,
7245995944.20706-013355f9-fabc,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_23-32-26,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,5e-05,4,200,200.0,0.6766892075538635,0.651583731174469,0.9439189434051514,0.9274734258651732,0.909563422203064,0.907750964164734,0.9643104076385498,0.9659929871559144,
7245873720.50565-6431d1e5-5dae,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-02_09-30-01,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,0.0001,4,200,200.0,0.762499988079071,0.7421118021011353,0.9425675868988036,0.9398896098136902,0.9615384340286256,0.9605194330215454,0.9944559335708618,0.994670271873474,
7245969086.98845-4d59ab6b-3fbf,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-01_06-57-19,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,0.0001,4,200,200.0,0.887499988079071,0.8824028968811035,0.941216230392456,0.9379513263702391,0.9615384340286256,0.9605194330215454,0.9972280263900756,0.99732506275177,
